Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
sisili,,,2055,2040,2,15,10,25
Camembert,,,2029,2000,1,0,1,1
upandcomer,,,2078.833333,2040,1,5,7,12
boatsnhoes,,,2037,2000,0,0,1,1
arina1999,,,2215.36044,2200,0,30,33,63
qweqweqweqwe1,,,2104,2080,1,3,4,7
frantoro,,,2015.2,2000,1,2,3,5
Polmipoque,,,2064.8,2040,1,4,6,10
JackBauer,,,2041,2040,3,0,2,2
Stupidity_Tries,,,2276.0625,2240,0,9,7,16
istil,,,2095.743056,2080,4,7,3,10
Pterodactyl,,,2193.576271,2160,1,58,60,118
alemzo,,,2007.5,2000,1,1,1,2
Monyassa,,,2003,2000,1,1,0,1
zoranz,,,2018.130435,2000,1,11,12,23
Koji,,,2010.25,2000,1,3,1,4
bluediamond7,,,2010.25,2000,1,1,1,2
macho2014,,,2011,2000,1,1,0,1
ecbg,,,2127.014286,2120,1,36,34,70
fidelgo,,,2035.666667,2000,1,1,0,1
Miniplus,,,2068,2040,0,0,1,1
itsmagic,,,2091.866667,2080,2,15,15,30
mixst,,,2142.2,2120,1,1,4,5
RSPIRES2,,,2007.5,2000,1,3,1,4
nikolaRBM,,,2116.637255,2080,1,51,51,102
csm,,,2041.416667,2040,1,6,6,12
zimar,,,2058,2040,2,0,1,1
pacal56,,,2234.690909,2200,0,348,257,605
kromzom,,,2091.596154,2080,1,25,27,52
androsh,,,2012,2000,1,1,0,1
TrickOrTreat,,,2431.692308,2400,0,13,13,26
fogof,,,2139.666667,2120,2,2,1,3
Desteyn-2014,,,2008,2000,1,1,0,1
Safifa,,,2136,2120,2,2,1,3
spojar,,,2110.273128,2080,1,120,107,227
yasrdhbol,,,2261,2240,0,0,1,1
playcheckers,,,2034.928571,2000,1,8,6,14
jorp,,,2043.428571,2040,1,5,2,7
AntaresS81,,,2144.25,2120,1,24,16,40
GMICE,,,2037,2000,1,2,1,3
DRAGONUA,,,2111,2080,0,0,1,1
cantona1362,,,2113.25,2080,1,2,2,4
Eliobonor,,,2099,2080,1,0,1,1
saber-v,,,2015.272727,2000,2,5,6,11
icediamond7,,,2062,2040,0,0,1,1
t-feng,,,2072.111111,2040,1,8,8,16
kesarev,,,2313.690476,2280,0,21,21,42
pmsryu,,,2030.979167,2000,1,22,26,48
Gorn,,,2177.32,2160,0,12,13,25
Buzzz2,,,2002,2000,1,1,0,1
amourmonstre,,,2416.1875,2400,0,14,18,32
Thecheesykid,,,2212,2200,0,2,2,4
Dajaneira,,,2023.076923,2000,1,6,7,13
gligorije,,,2008.875,2000,1,4,4,8
gojkon,,,2032,2000,1,3,5,8
KNST_495_888,,,2016,2000,0,1,0,1
MensaNTXS,,,2043.25,2040,1,1,3,4
ImprovingSkill,,,2237.927273,2200,0,1,2,3
macr0,,,2015.333333,2000,1,0,3,3
faku312,,,2039.5,2000,17,0,2,2
motet,,,2046,2040,17,1,0,1
amirkhafan,,,2409.441176,2400,0,13,21,34
andrei70ster,,,2019.333333,2000,1,2,1,3
Castrito,,,2062,2040,0,1,2,3
Permanganato,,,2011,2000,0,1,0,1
gladpie,,,2026.875,2000,2,3,5,8
denizn,,,2232,2200,1,15,17,32
desmo,,,2006.333333,2000,1,1,2,3
Gravey4rd,,,2337.8,2320,1,33,25,58
raskolnikov56,,,2239.75,2200,0,12,12,24
blueguy7,,,2124,2120,2,0,1,1
Anomander,,,2241.529412,2240,1,10,7,17
Kiyotaka,,,2161.2,2160,1,2,3,5
JeanH,,,2192.348837,2160,0,19,24,43
Petrovich63,,,2106.338462,2080,1,33,32,65
mahavj,,,2039.625,2000,2,2,6,8
labo531,,,2122.5,2120,0,1,3,4
BigRip,,,2164.769231,2160,1,16,23,39
Romoda,,,2169.09434,2160,1,23,30,53
Portos2010,,,2156.6,2120,3,5,9,14
DeathInTheToilet,,,2058.026316,2040,1,25,13,38
konakjan,,,2019.25,2000,0,2,2,4
Skinmaster,,,2068.388889,2040,1,8,10,18
rymrym2929,,,2012.875,2000,1,3,5,8
