ID,Win Rate,Elo Bucket
SerrNikk,0,2000
Serzh1956,0.606060606,2040
ShPad,1,2000
Shachspielkunst,0.666666667,2040
Shaeferov,0.625,2000
Shamil_Unknown,0.375,2120
Shermukshnelis,0,2120
Shouldbeworking,0.555555556,2000
Shumov,0.2,2080
Siline,0.666666667,2000
Skinmaster,0.333333333,2040
SocratesM,1,2040
Sokica_95,0.833333333,2080
Some-Patzer,0.225609756,2600
SomeBigName,0,2280
Sonata2,0.75,2000
Soturi,0.833333333,2000
Souren,1,2000
Spellvexit,0.8,2000
Spinaltap,0.4,2280
StefanNK,1,2000
Stepanesayan,0,2000
StinkyBoy007,0.444444444,2080
StrangeMove,0.18705036,2440
Streepo,1,2080
StrongAttacker,1,2000
Stupidity_Tries,0.634751773,2200
Suerte,0.571428571,2040
SuperMi,0.603174603,2040
Surjadi,1,2040
Sutileza,1,2040
Svesh,0.540816327,2040
Svonti,0.571428571,2000
Szpilman,0,2000
T3rminat0r,0.58974359,2000
TASSADAR,0.512820513,2040
TECTOCTEPOH,1,2120
TRO7,0.333333333,2160
TT-68,0.285714286,2080
TTTTTT11,1,2120
TTZO,0.485714286,2040
TX1,1,2000
TacticalEye,1,2000
Taolu,0,2160
Tata190,0.7,2000
Teddie,1,2000
ThapCuongVoGia,0.5,2000
TheHoudini,1,2040
TheIniciative,0.666666667,2080
TheOldOne,1,2000
TheWall_,0.4,2040
Thecheesykid,0.33,2280
Tifus,0.64,2000
Tikal,0.25,2040
Tjoffen,0.222222222,2120
Toadofsky,1,2000
Toro3,0,2080
TrialB,0.65,2040
TrickOrTreat,0.185185185,2400
Trinidad84,0.333333333,2000
Tsiri86,0.5,2040
Twinpeaks,0.75,2000
VELHOTE,1,2000
Vadim3000,1,2000
Valtor,0.791666667,2000
Varjag,1,2000
Varon,0.666666667,2040
VasiliyProkopiev,0.5,2000
Vicious,0.5,2000
Vihvillain,0.414965986,2080
Vlad76,1,2000
Vlaolbold,0.5,2000
Voittamaton,0.777777778,2000
Vulpini,0.666666667,2040
Wachen,0.5,2080
WhatsLosing,1,2080
Withouttalent,1,2040
World-Loser,0.727272727,2000
Xaxatun,1,2040
Yaguarete,0.580645161,2040
Yegresmd,0.463414634,2080
YouralterEgo,1,2000
Yukhno_Alexander,0.388888889,2200
YvesAnchouk,0.333333333,2120
ZMAJ,0.703225806,2000
ZSZ8,1,2040
ZSZZ,1,2000
ZZ2Z277,0.5,2040
ZZ7A,1,2040
ZeruHmyz,0.405882353,2200
ZibbitVideos,0.541666667,2280
Zolotaja13,1,2080
ZugAddict_Twitch,0,2080
_-Mr_Vitaliy-_,0.5,2000
_-horror-_,0.833333333,2080
_-moloch-_,0.833333333,2000
_CEKTAHT,1,#N/A
_KO_,0.5,2040
_Kozel_,1,2080
_Mustapha,0.333333333,2120
_Theoretik_,1,2240
_anachronist_,1,2080
_asket,0.833333333,2160
_auditor_,0.666666667,2160
_babuin_,1,2040
_coco_,0.25,2120
_exlusive_,0,2120
_exorcist_,0,2000
_imitator_,1,2160
_innovator_,0.666666667,2200
_introvert_,0.222222222,2160
_l_l_l_,0.518867925,2160
_mustapha_,1,2040
_patriot_,0.5,2160
_praktikant_,1,2160
_retrograd,0,2120
a2a4h7h5,1,2000
aaa505050,1,2040
abarmard765,0.480392157,2040
abbasimehdi60,1,2040
abucavid,0.5,2040
accelix,1,2000
aceleci,1,2160
acmeeeeeen,1,2000
adventist,1,2080
agolp,1,2000
ajdukapis,0.727272727,2000
ajosilso,0.666666667,2000
akraba,0.492537313,2200
akramcharfeddine,1,2080
akseb,0.769230769,2000
akselerat,0,2240
alainsoral,0.644897959,2000
alejandroo19,0.333333333,2160
alekhin1937,1,2000
alelagi,0.333333333,2040
alemzo,1,2000
alexandr7522,0.833333333,2080
alexkoay,1,2000
alexthegreat,0.5,2040
ali13agheri,0.5,2120
alia234,0.727272727,2000
alienb,0.75,2000
alikamak,0,2040
alkemisti,0.416666667,2080
alpay,0.545454545,2040
amayak,0.6,2040
amazingoid,0.297619048,2360
amigochez,1,2000
amin2101,1,2000
amir79,1,2000
amirherkul,0.631578947,2200
amirkhafan,0.541436464,2200
amirkhanloomorteza,1,2120
amirkhanloomorteza12,1,2080
amirkhanloomorteza20,1,2040
amirkokoamli,0,2200
amourmonstre,0.201550388,2400
anand1,0.666666667,2040
andreasw,0,2080
andrei70ster,1,2000
andreichess,0,#N/A
andrewrun,0.347222222,2200
androsh,1,2000
angelus666,0,2200
ania94,0.523809524,2040
ant1999chess,1,2120
antavirus,0.5,2000
antawn,0.8,2040
antibiotic,0.571428571,2120
antibiotik,0,2200
antoinette,0.645833333,2040
antonije,0,2000
antonov666,0,2360
anty,0.666666667,2000
aoao,1,2040
aptallar,0.4,2040
arazaraz,0.622222222,2080
arc_chess,0.414634146,2120
areza,0.5,2000
argo,0.847826087,2000
ari_atoy,0.5,2040
arina1999,0.551724138,2080
arkadi1958,1,2000
arminJM,1,2040
arna,0.472527473,2280
aronian1,0.666666667,2040
aroshka,1,2000
arpouille,0.528301887,2080
arshavir,1,2000
artin-iran,0.777777778,2040
aruo,0.555555556,2000
arvin1372,1,2040
asew,1,2080
ashtari,0.75,2040
assignee,0.5,2080
astra,1,2000
attitudal,0.2,2040
aurel,0.5,2000
ava-n-1379,1,2360
avangardist,0.5,2040
avanti,0.5,2000
avv,0.397435897,2080
awesomeadam,1,2080
ayathustra,0.5,2040
ayka_99,0.52,2040
aynalar,0.1,2240
azaaadi2002,0,2200
azadi,0.7,2000
azaharia,0.75,2000
azaxc0101,1,2040
azaz0101,1,2000
azertyu123,1,2040
baba0,1,2440
bababbabab,0,2200
babi123,1,2520
babken,0.46969697,2080
bahar1389,0.5,2000
bahram33,1,2040
bakovka,0.396226415,2040
bal_gecesi,0.384615385,2160
bandit650s,0,2320
banebojnik,1,2000
barane,1,2040
batilski,0.666666667,2040
batman2000,0.666666667,2040
bauk,1,2080
beater,0.666666667,2200
benayon,1,2160
bia,0,2000
bigorneau,0.666666667,2080
bikhail,0.538461538,2160
bikhial,0.405991077,2200
binibin,0.4,2040
bisan,0.75,2040
bitarafinagirsin,0,2040
bizamil,0.666666667,2040
blablub,0,2200
blastol,0.230769231,2120
blue13,0.730769231,2000
blue_mask,1,2000
bluediamond7,1,2000
blueguy7,0.4,2200
bmw10,1,2040
boatsnhoes,1,2000
bob62,1,2000
boncoup,0.6,2040
borodavochnik,1,2160
botanik2,0.875,2000
brahmsguitar,0.5,2000
branislav43,0.285714286,2080
breaky,1,2000
breizhladen,0.65,2040
brzigonzalez,0.5,2120
bulus,0,#N/A
caiosparov,0.722222222,2000
cantona1362,0.5,2080
carlsen89,0.333333333,2000
catal,0.666666667,2160
catzilla,0.888888889,2000
cavanof,0.436363636,2240
ceaser80,0,2080
celas-of-clets,0,2480
ceref,0.333333333,2000
cesar1994,0.388888889,2040
chessbandit,0.25,2120
chesserstein,0.474452555,2160
chessfriend90,0,2040
chessfune,0,2360
chessgogo2011,1,2000
chesslion,0,2000
chessmusic,0.484126984,2080
chessnightmare,0.587719298,2200
chesswolf,1,2000
christopheh,0,2000
cinics,1,2000
claymore,0.557059961,2120
clinisbu,0.318181818,2120
clipperton,0.636363636,2000
cmcm5002,1,2040
cocoarg,0.536082474,2000
cofee-chess-11,0,2080
comegatas,1,2000
cosinus,0.558823529,2120
covua3001,0,2000
crazymetalxxx,1,2040
crazyslon,0.604938272,2040
croarh51,0.3,2240
csm,0.666666667,2040
cug,0.36,2120
cxecxe,0.644444444,2080
cypher-2199,1,2000
cypher199,0.666666667,2080
cypher2199,0.6,2080
d_mikle,1,2120
daji1006,1,2000
dan31,0.8,2040
danielcuva,0.833333333,2000
danlokgarzon,0.5,2000
darewing,0.636363636,2040
darhaa,0.8,2000
daunuoc,1,2040
deda1946,1,2000
dede2014,0.4,2120
demaupassant,0.181818182,2160
denizn,0.416666667,2200
deozki,1,2000
desmo,1,2000
dex26,0.272727273,2120
dfdfdt0202,0.2,2080
didigaga,1,2000
diegor,0.875,2040
dindin1,1,2080
diogo007,0,2280
dj770,1,2000
doc2,0,2000
dodi65,0.6,2000
dolap,0.75,2000
donairo,0.666666667,2000
dondurma,0,2320
dorongmata,0.5,2080
dorsa1392,0.5,2080
dreamwalker3,0.46969697,2040
drmanthan321,0.166666667,2000
drseuss,0.428571429,2040
dsfddsdsds,0,2200
dual1,1,2040
duarthes,0.5,2040
dui_rp,1,2000
durnius,1,2120
durrrrr,0,2000
duzi1964,0.666666667,2040
e1usion,0.517241379,2080
ecbg,0.428571429,2120
edrisiran,0,2200
ehsan_fire,1,2000
einsam,1,2000
elektroz,0.421052632,2080
ellince,1,2000
elmaliii,1,2000
elrond,0.384236453,2120
epsilon1,0.5,2040
eqellar,0.747474747,2040
equilibrist,1,2040
ererrf0909,1,2040
erindreki,0.469798658,2320
erteg47,0.75,2040
escalibut,0.625,2040
esthete,1,2160
eternauta,0,2000
eviltwin,0.555555556,2000
exiit,0.25,2040
expert700,1,2040
faku312,0.5,2000
fasulye,0.333333333,2160
faulschlamm1,0.403225806,2080
fdd5544w,1,2040
fenix13,0,2080
ferchos,0.5,2000
fernandeszorro,1,2040
fhermann,0.25,2080
fi05,0.428571429,2040
fidel_go,0.4375,2040
fidelgo,1,2000
finalflash,0.75,2000
fincan,0.166666667,2160
flogislife2,1,2000
fogof,0.375,2120
foodbooke,0.666666667,2000
fotc,0.4,2000
fra403,1,2000
frantoro,0.4,2000
fras20016,1,2000
freakyavocado,0.517241379,2040
frenck1,0.47826087,2040
frost111,1,2000
futurum,0.505882353,2080
fvgrgr0404,0.461538462,2040
fymax,0.474747475,2080
gabacho,0.684210526,2040
gaith,0.555555556,2000
gambiterr,0.794871795,2000
gambitron9000,1,2040
gamlet,0.428571429,2000
gari-k,0.590163934,2120
gat0555,1,2120
ggggggg7878,0.5,2160
gile2510,0,2000
gimpel,0,2200
giuliob,0.333333333,2040
glablabla,0,2040
gladpie,0.736842105,2040
glee,0.583333333,2200
gligorije,0.75,2000
glube,1,2000
gmv,0.555555556,2080
gnarizzy,0.568627451,2040
god_ofwar,1,2160
godes,0.666666667,2160
godofwar2014,0.235294118,2360
gogf88,1,2000
gojkon,0.625,2000
goldenking1998,0,2000
goldhourse,1,2000
goltrpoat,1,2000
gonzalesramon,0,2040
goraja,0.5,2040
gpv,0.8,2000
gracioso13,1,2160
grandwwwlz,1,2000
greyberry,1,2000
grigri,0.333333333,2240
guardman,0.538461538,2040
gulixuli,0.428571429,2040
gus_fring,0.403645833,2320
hackauron,0.619047619,2160
haky,1,2000
halilov,0.58974359,2040
halley,1,2000
hashemian,0.217391304,2120
hashiva,0.607843137,2040
hasta,0,2040
hazael,0.5,2000
heel,0.507936508,2040
heimoelo,1,2040
hentes81,0.5,2040
hiranyagarbha,0.494117647,2120
homoeporediensis,0.555555556,2000
honzarusnak,0.666666667,2040
horst,0.666666667,2000
hosein1370,0.055555556,2200
hosein1970,0.428571429,2000
hosein1991,1,2040
hossiganji,1,2000
huzun,0.322580645,2200
hyakinthos,0.533333333,2200
hyperprior,0.6,2080
iNUiT_nUNAAt,0.5,2120
i_am_not_a_smart_man,1,2000
icediamond7,0,2040
igo1,0.339233038,2160
igorxxx,0.5,2000
iks,0.4,2120
ikuju0202,1,2040
iman60,0.604166667,2000
impacto,1,2000
impulsee,0.605839416,2000
infinite-automata,0.609195402,2040
intobolivian,0.166666667,2040
inzeitnot,0.6,2040
iranii,0,2000
irusha,1,2360
istil,0.675,2080
itsmagic,0.346938776,2080
iuser76,0.5,2200
iuytrewq147,0,2520
jaier,0.35,2120
jaipov,1,2000
jamasukro123,0.6,2000
jankud,0.538461538,2040
jarda,0.409090909,2080
javadsh,0,2040
javadsharoi,0.666666667,2040
javid1322,0.492063492,2000
jcb312,0.333333333,2040
jeffforever,0.5,2400
jhkij,0,2120
jiktak,0.602739726,2040
jjvolf79,0.5,2080
jlindner,0.462046205,2160
joaoluizmonnerat,1,2000
joe59,1,2080
joedoubt,1,2000
joemanji,0,2000
johny_,0,2040
jonathantheh,0.571428571,2240
jorp,0.428571429,2040
jorquerino,0.266666667,2240
jorquerov,0.652173913,2040
josefranciscotrator,1,2000
jotjesus,0.432,2120
jox52,1,2000
jpcheck,0.5,2000
jstraaten,0.4,2040
jthc,0.468085106,2040
juanze21,0.722222222,2000
k2052,1,2120
ka6an,1,2160
kaZuHA,1,2000
kabaplanca,0.7,2000
kabukiman,0,2120
kafana,0.222222222,2080
kalitka_man,0.64893617,2000
kamal1386,0.6,2000
kanepe,0.609756098,2160
kansinat,0,2080
kapa2,0.714285714,2080
karelusmaksimus,1,2000
karimov,0.541176471,2000
karlsrue,0,2160
karpov3,1,2000
kasma,0.6,2040
kawskozah,0.333333333,2000
kazablanka,0.6,2000
kel_ebek,0.5,2000
kesarev,0.507042254,2240
ketombe,0,2160
ketoprak,0.25,2080
keyboardwarriorr,0.409090909,2160
keyhanone,0,#N/A
kholifatullah,1,2080
kicmak,0.379310345,2200
killourtrees,0.6,2000
king146,0.5,2320
kirisis,0.5,2160
kkk68,1,2000
kkkjhhggh12345,0.714285714,2040
kknight,0.604166667,2040
klaja,0.452380952,2040
kmd007,0,2080
knap,0,2040
knopp,0.25,2120
kokokoko79,1,2000
konakjan,0.492063492,2040
konyol,0.1,2120
kostya19841,0.689655172,2040
kotbegemot,1,2000
kpop_star,0.777777778,2000
krasIn,0,2000
krassparov,0.568421053,2040
kromzom,0.346153846,2080
kulje,0.56,2000
kurton,0.208510638,2320
kurzeme,0.666666667,2000
kutunas,0.666666667,2040
labo531,0.481481481,2000
lakdrcjbj,0.764705882,2000
lambda777,1,2040
langtubeo,0,2040
langyen,1,2040
larpayam,0.588235294,2040
lasker2,0.727272727,2080
ldlan,0.6,2080
legend,0.2,2000
leguizcaro,1,2000
leo0021,1,2000
leonsupreme,0,2120
leptonic,0.388235294,2200
letmeplaynow,1,2000
lex-1,0.5,2040
liargo,0.666666667,2000
lichess-,1,2040
lietuvis,0.48,2040
lifeislive,0.5,2120
likor64,0.4,2040
lindogatito,0.6,2040
lion25,1,2160
lisek91,0,2000
litavrist,0.571428571,2040
litning,0,2000
littlefiotte,0.5625,2000
littlefiottethebest,1,2000
liutikoff,1,2000
lllllll8568,1,2080
llolllll6,0.4,2080
lokomotiv_bz,0.5,2040
looka,0.612903226,2000
losos,0,2080
lovlas,0.184210526,2400
lt1,1,2040
lttoledo,1,2240
luc5,0.5,2080
ludonissa,0.5,2000
luis_alfredop,0.888888889,2000
luisreynoso,0.5,2040
lukdimarco,1,2000
lyuw,1,2080
macho2014,0,2000
macr0,1,2000
magic-milo,0.576923077,2040
mahavj,0.75,2000
mahir123,0.625,2000
mahshid,0.64,2000
mahyar-90,0.642857143,2040
malachi76,0.4,2080
manono,0.2,2000
marathon_woman,0.272727273,2120
marikov,0.416666667,2080
marina17,0.428571429,2000
mark_twain,0.414285714,2240
masal,0.567567568,2200
mashir,0.630769231,2040
master-chess,0.6,2080
matjuck,1,2000
matutin,0,2080
maulwurf,0.75,2000
maximmo,0,2080
maydanoz,1,2120
mazetr,0.5,2040
mb1,1,2080
mecker,0.544524053,2160
mehere,0.5,2080
mehrabjakvar,0.597402597,2440
mehrabking,1,2000
mesi2014,0.714285714,2040
mfaraji,0.75,2040
miao,0.5,2080
mich_5,0,2080
microcommega,0,2000
mikrofon,1,2040
milanbelobrk,0.384615385,2040
milancuruvija,0.671328671,2000
millin,1,2000
misaaa,0.5,2000
misko111,0.8,2040
mixst,0.8,2120
mixx,0.666666667,2040
mk64,0.75,2000
mknz,0.75,2040
mm3210,1,2040
mmix,1,2000
mmm0202,1,2000
mmmm6325,0.4,2200
mmmmm2020202020,0.333333333,2080
modulo,0.761904762,2080
mofo,0.285714286,2040
moi373737,1,2040
moj1990,0.569230769,2040
mokachino,1,2080
monoid,0.75,2040
monstrella,0.4875,2040
mortezamesi1,1,2000
motet,1,2040
moutcho,0.333333333,2080
mowpet,0.656441718,2080
mpf67,0.666666667,2160
mstfa0,0,2240
mtluser,0.517857143,2080
muntesu,0.5,2080
muschi,1,2000
mustaplak,0,#N/A
mutuvan,0.542857143,2200
mxs,0.5,2040
my_revenge,1,2000
nadbog,0.666666667,2200
nafnaf54,1,2160
naiche,0.450980392,2080
namardee,0,2080
narkohat,0,2000
naser-----,0,2080
nayme,0.210526316,2200
nefantii,0.454545455,2080
nesa10,0.580952381,2040
nesher,0.53968254,2040
new77,0.818181818,2000
newnomew,1,2000
nicky,0.558139535,2040
nietszche,0.5,2000
night_rid3r,0.4,2040
nik900,0,2080
nikolaRBM,0.551401869,2080
nikolaypetkov_bnpp,0,2000
nilocairo,1,2000
nimanewmew,1,2000
