Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
paul58,,,2005.4,2000,1,1,0,1
pochocho76,,,2087.270833,2080,2,1,1,2
Zolotaja13,,,2081,2080,2,0,1,1
pasoviola69,,,2079,2040,2,1,0,1
ferchos,,,2029.5,2000,2,1,1,2
Sergio_Aguero,,,2054.252381,2040,1,2,1,3
Morfi4,,,2105.5,2080,2,2,0,2
zekinha16,,,2026,2000,2,1,0,1
Vlad76,,,2003,2000,2,1,0,1
Gorn,,,2196.166627,2160,0,1,1,2
letmeplaynow,,,2002,2000,29,0,1,1
lisek91,,,2027,2000,29,1,0,1
raminder57,,,2003.208333,2000,2,1,0,1
Souren,,,2008.5,2000,2,2,0,2
sky2014,,,2019,2000,2,0,1,1
fras20016,,,2023,2000,2,0,1,1
ka6an,,,2168,2160,2,1,0,1
wolfychess,,,2014,2000,10,0,1,1
mehere,,,2102.5,2080,10,2,2,4
Anonim_13,,,2072.5,2040,10,3,1,4
Eurekatimes,,,2018,2000,2,0,1,1
LevonKarapetyan,,,2011,2000,2,0,1,1
HillHock,,,2188,2160,2,0,1,1
veryclear700,,,2115.5,2080,2,2,0,2
Feder,,,2072,2040,2,1,0,1
amirkokoamli,,,2202,2200,2,0,2,2
k2052,,,2130,2120,2,1,0,1
kurzeme,,,2032.666667,2000,2,1,2,3
ChesSuxX,,,2012,2000,2,0,1,1
wind1982,,,2080.166667,2080,2,2,4,6
VELHOTE,,,2020.208333,2000,2,1,1,2
dede2014,,,2136.6,2120,2,4,1,5
fernandeszorro,,,2044,2040,10,0,1,1
Cafetiere,,,2005,2000,2,0,1,1
yfhjfghynm,,,2104,2080,2,1,0,1
Ranger7168,,,2009.5,2000,2,1,1,2
Vihvillain,,,2106.034129,2080,0,1,0,1
Stepanesayan,,,2027,2000,2,0,1,1
javadsh,,,2068,2040,2,1,0,1
muschi,,,2020,2000,2,1,0,1
nomistakes7,,,2013,2000,2,0,1,1
Farshad54,,,2062.003367,2040,1,0,1,1
gamlet,,,2025.083333,2000,2,0,1,1
javadsharoi,,,2062.433333,2040,4,0,1,1
noname8,,,2085,2080,2,1,0,1
antonije,,,2001,2000,2,0,1,1
pirketo,,,2008,2000,2,0,1,1
keyhanone,,,2101,2080,2,0,1,1
RiccardoRubino99,,,2100.333333,2080,2,2,1,3
