Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
demaupassant,,,2151.633333,2120,0,3,5,8
bisan,,,2042.833333,2040,0,6,6,12
maulwurf,,,2013.25,2000,0,3,3,6
noti,,,2051,2040,0,0,1,1
superspeed,,,2338.909091,2320,0,11,11,22
Bagirow,,,2047.821429,2040,0,15,13,28
finalflash,,,2002.3125,2000,3,1,1,2
blue_mask,,,2037,2000,0,0,1,1
nimanewmew,,,2027,2000,0,1,1,2
palng,,,2084.951149,2080,0,15,12,27
ytt,,,2094.2,2080,0,2,3,5
e1usion,,,2114.517241,2080,0,30,28,58
_asket,,,2162.571429,2160,0,3,2,5
stochastic__,,,2030,2000,0,1,0,1
mfaraji,,,2070.52381,2040,1,3,2,5
Patrizsche,,,2059.019444,2040,1,5,2,7
DarkHole,,,2155,2120,1,0,1,1
ZugAddict_Twitch,,,2068,2040,1,1,2,3
ThapCuongVoGia,,,2030.75,2000,0,1,3,4
Peeter,,,2157.375,2120,0,13,19,32
theitalian,,,2028,2000,0,1,0,1
MrPatate,,,2043.789474,2040,0,28,29,57
cmcm5002,,,2043.6,2040,0,3,2,5
huzun,,,2210.83871,2200,0,16,15,31
fvgrgr0404,,,2067.642857,2040,0,6,6,12
sigmaa,,,2008.5,2000,0,1,1,2
arna,,,2305.928571,2280,0,88,92,180
AltaMachine,,,2038.5,2000,0,1,1,2
ZeruHmyz,,,2096.501965,2080,1,11,11,22
ikuju0202,,,2061,2040,0,1,0,1
ceaser80,,,2103,2080,0,1,1,2
vevesem,,,2032.956207,2000,1,24,24,48
Huevon,,,2052.5,2040,0,13,7,20
epsilon1,,,2044.583333,2040,27,6,6,12
kokokoko79,,,2013.25,2000,0,1,3,4
_praktikant_,,,2183.666667,2160,0,2,1,3
TRO7,,,2161.666667,2160,0,6,3,9
nimapashikhs0098,,,2054,2040,6,1,1,2
nimapashinew005,,,2127,2120,6,6,4,10
foodbooke,,,2032.666667,2000,0,1,2,3
aptallar,,,2067.3,2040,27,5,5,10
ComeUppance,,,2119.291667,2080,3,1,1,2
_l_l_l_,,,2169.773585,2160,0,54,52,106
rt0306,,,2038.172414,2000,0,41,46,87
1nate2nate,,,2040.16129,2040,0,16,15,31
losos,,,2108,2080,0,0,1,1
CrazyMadMax2,,,2041.196429,2040,0,26,30,56
WhatsLosing,,,2101,2080,0,1,0,1
_introvert_,,,2131.75,2120,3,1,1,2
zxcvbnmzxcvbnm,,,2007.692308,2000,0,5,8,13
Jcat84,,,2040.97619,2040,1,2,2,4
tocaifriulano,,,2061.25,2040,1,1,1,2
SocratesM,,,2043,2040,0,1,0,1
Argentinaa,,,2078.5,2040,0,3,5,8
MiesesBruce,,,2061,2040,0,1,0,1
nuwonga,,,2093.375,2080,1,3,3,6
OCoringa,,,2237.744231,2200,0,102,104,206
Chovier,,,2133.266667,2120,1,0,1,1
mark_twain,,,2248.3,2240,0,105,105,210
LoroVerde,,,2108.752829,2080,1,22,23,45
rrrtttyyy,,,2089,2080,0,1,0,1
JMC-,,,2065.333333,2040,0,3,3,6
topce,,,2161.541022,2160,0,78,72,150
JessePinkman,,,2610,2600,0,1,1,2
Valtor,,,2011.681159,2000,0,10,11,21
shutupandplay,,,2192,2160,0,1,2,3
wwr,,,2037,2000,0,0,1,1
lovlas,,,2408.684211,2400,0,38,38,76
Voittamaton,,,2026,2000,0,8,10,18
kpop_star,,,2020.666667,2000,0,6,3,9
celas-of-clets,,,2513.071429,2480,0,7,7,14
amirherkul,,,2235.473684,2200,0,18,20,38
PowerfulChessPlayer,,,2172.333333,2160,0,34,24,58
vvvvvvv50540,,,2102,2080,0,0,1,1
denizn,,,2099.2,2080,1,3,0,3
stochastic9,,,2064.409091,2040,0,31,35,66
CrazyMadMax3,,,2124.262195,2120,0,78,84,162
PlanToWin,,,2241,2240,0,1,2,3
erteg47,,,2047.4,2040,0,1,2,3
SuperMi,,,2031.660465,2000,1,9,9,18
tehraniran,,,2176.555556,2160,0,17,10,27
vepashka,,,2007.4,2000,1,2,1,3
kawskozah,,,2002,2000,0,1,2,3
HoaiNiem,,,2065.657143,2040,0,19,16,35
ggggggg7878,,,2134,2120,0,1,0,1
